,gvkey,iid,gvkeyx,from,thru,conml,from_yearquarter,thru_yearquarter,2008-Quarter1,2008-Quarter2,2008-Quarter3,2008-Quarter4,2009-Quarter1,2009-Quarter2,2009-Quarter3,2009-Quarter4,2010-Quarter1,2010-Quarter2,2010-Quarter3,2010-Quarter4,2011-Quarter1,2011-Quarter2,2011-Quarter3,2011-Quarter4,2012-Quarter1,2012-Quarter2,2012-Quarter3,2012-Quarter4,2013-Quarter1,2013-Quarter2,2013-Quarter3,2013-Quarter4,2014-Quarter1,2014-Quarter2,2014-Quarter3,2014-Quarter4,2015-Quarter1,2015-Quarter2,2015-Quarter3,2015-Quarter4,2016-Quarter1,2016-Quarter2,2016-Quarter3,2016-Quarter4,2017-Quarter1,2017-Quarter2,2017-Quarter3,2017-Quarter4,2018-Quarter1,2018-Quarter2,2018-Quarter3,2018-Quarter4,2019-Quarter1,2019-Quarter2,2019-Quarter3
10,1380,1,3,1984-05-31 00:00:00.000000,,Hess Corp,1984-Quarter3,2019-Quarter3,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp,Hess Corp
11,1440,1,3,1964-03-31 00:00:00.000000,,American Electric Power Co Inc,1964-Quarter2,2019-Quarter3,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc,American Electric Power Co Inc
12,1447,1,3,1976-06-30 00:00:00.000000,,American Express Co,1976-Quarter3,2019-Quarter3,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co,American Express Co
13,1408,1,3,1964-03-31 00:00:00.000000,2014-04-30 00:00:00.000000,Beam Inc,1964-Quarter2,2014-Quarter2,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,Beam Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1478,1,3,1964-03-31 00:00:00.000000,2009-10-15 00:00:00.000000,Wyeth,1964-Quarter2,2009-Quarter4,Wyeth,Wyeth,Wyeth,Wyeth,Wyeth,Wyeth,Wyeth,Wyeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1487,1,3,1980-03-31 00:00:00.000000,,American International Group Inc,1980-Quarter2,2019-Quarter3,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc,American International Group Inc
16,1449,1,3,1999-05-28 00:00:00.000000,,AFLAC Inc,1999-Quarter3,2019-Quarter3,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc,AFLAC Inc
17,1598,1,3,2013-09-23 00:00:00.000000,,AMETEK Inc,2013-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc,AMETEK Inc
18,1602,1,3,1992-01-02 00:00:00.000000,,Amgen Inc,1992-Quarter2,2019-Quarter3,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc,Amgen Inc
19,1567,2,3,2002-05-13 00:00:00.000000,2008-06-05 00:00:00.000000,Trane Inc,2002-Quarter3,2008-Quarter2,Trane Inc,Trane Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
