gvkey,iid,gvkeyx,from,thru
004058,01,000003,1985-10-31 00:00:00.000000,
004060,01,000003,1964-03-31 00:00:00.000000,2019-06-02 00:00:00.000000
004060,01,000003,2019-06-04 00:00:00.000000,
003813,01,000003,1976-12-31 00:00:00.000000,
003835,01,000003,1964-03-31 00:00:00.000000,
003851,03,000003,2013-09-11 00:00:00.000000,
003897,01,000003,1964-03-31 00:00:00.000000,
003964,01,000003,1986-10-31 00:00:00.000000,2008-10-21 00:00:00.000000
003980,01,000003,1976-06-30 00:00:00.000000,
004094,01,000003,2008-12-02 00:00:00.000000,2017-04-04 00:00:00.000000
004108,01,000003,2008-10-02 00:00:00.000000,
004145,01,000003,1985-05-31 00:00:00.000000,
004194,01,000003,1964-03-31 00:00:00.000000,2010-12-19 00:00:00.000000
004199,01,000003,1964-03-31 00:00:00.000000,
004066,01,000003,1997-12-24 00:00:00.000000,
004087,01,000003,1964-03-31 00:00:00.000000,2017-08-31 00:00:00.000000
004093,01,000003,1976-06-30 00:00:00.000000,
004213,01,000003,1989-01-31 00:00:00.000000,
004242,01,000003,1999-10-26 00:00:00.000000,2012-05-24 00:00:00.000000
004383,01,000003,2019-02-15 00:00:00.000000,
004423,01,000003,1997-06-19 00:00:00.000000,
004503,01,000003,1964-03-31 00:00:00.000000,
004510,01,000003,2009-08-19 00:00:00.000000,
004517,01,000003,1976-06-30 00:00:00.000000,
004611,02,000003,1995-11-08 00:00:00.000000,
004640,01,000003,1996-03-08 00:00:00.000000,
004674,01,000003,1998-08-28 00:00:00.000000,
004723,01,000003,1999-01-04 00:00:00.000000,
004737,01,000003,2002-05-06 00:00:00.000000,2013-06-23 00:00:00.000000
004321,01,000003,1965-03-31 00:00:00.000000,
004367,01,000003,2005-07-22 00:00:00.000000,2009-02-25 00:00:00.000000
004430,01,000003,2008-12-19 00:00:00.000000,2018-11-12 00:00:00.000000
004494,01,000003,2007-10-10 00:00:00.000000,
004560,01,000003,2001-08-06 00:00:00.000000,2015-07-08 00:00:00.000000
004598,01,000003,1980-12-31 00:00:00.000000,
004601,01,000003,1988-08-31 00:00:00.000000,2008-09-10 00:00:00.000000
004605,01,000003,2016-02-01 00:00:00.000000,
004699,01,000003,2004-02-27 00:00:00.000000,
004818,01,000003,1980-03-31 00:00:00.000000,2019-06-03 00:00:00.000000
004885,01,000003,1998-04-29 00:00:00.000000,
004739,01,000003,1989-02-28 00:00:00.000000,2009-01-01 00:00:00.000000
004839,01,000003,1964-03-31 00:00:00.000000,
004843,01,000003,2000-11-22 00:00:00.000000,2014-06-30 00:00:00.000000
004988,01,000003,1975-12-31 00:00:00.000000,2017-06-01 00:00:00.000000
004990,01,000003,1986-08-31 00:00:00.000000,
005046,01,000003,1964-03-31 00:00:00.000000,
005125,01,000003,1973-12-31 00:00:00.000000,
005256,01,000003,1981-06-30 00:00:00.000000,
004973,01,000003,2016-05-31 00:00:00.000000,
005047,01,000003,1964-03-31 00:00:00.000000,
005071,01,000003,1969-03-31 00:00:00.000000,
005073,01,000003,1964-03-31 00:00:00.000000,2009-06-02 00:00:00.000000
005073,19,000003,2013-06-07 00:00:00.000000,
005074,01,000003,1998-08-11 00:00:00.000000,2008-08-26 00:00:00.000000
005229,01,000003,1964-03-31 00:00:00.000000,2012-07-30 00:00:00.000000
005234,01,000003,1964-03-31 00:00:00.000000,2019-02-26 00:00:00.000000
005439,01,000003,1964-03-31 00:00:00.000000,
005518,01,000003,1984-09-30 00:00:00.000000,
005543,01,000003,2009-01-30 00:00:00.000000,
005568,01,000003,1964-03-31 00:00:00.000000,2013-06-06 00:00:00.000000
005568,04,000003,2015-07-03 00:00:00.000000,
005492,01,000003,2008-09-22 00:00:00.000000,2019-06-30 00:00:00.000000
005492,01,000003,2019-07-02 00:00:00.000000,
005589,01,000003,1964-03-31 00:00:00.000000,2008-11-13 00:00:00.000000
005597,01,000003,1964-03-31 00:00:00.000000,
005606,01,000003,1974-12-31 00:00:00.000000,
005643,04,000003,2017-06-19 00:00:00.000000,
005667,01,000003,2018-06-18 00:00:00.000000,
005680,01,000003,1988-03-31 00:00:00.000000,
005709,01,000003,2009-03-04 00:00:00.000000,
005783,01,000003,2015-07-01 00:00:00.000000,
005786,01,000003,1997-08-06 00:00:00.000000,
005959,01,000003,1964-03-31 00:00:00.000000,2009-06-30 00:00:00.000000
005959,01,000003,2010-11-17 00:00:00.000000,
005581,01,000003,2010-03-01 00:00:00.000000,
005723,01,000003,2000-11-17 00:00:00.000000,2016-09-22 00:00:00.000000
005742,01,000003,1985-07-31 00:00:00.000000,
