gvkey,iid,efffrom,effthru,itemvalue,conml
002864,01,1989-02-07 00:00:00.000000,2900-01-01 00:00:00.000000,5585A,Central Soya Co Inc
002884,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,CTL,CenturyLink Inc
002892,01,1988-09-08 00:00:00.000000,1991-01-23 00:00:00.000000,CDP,Cerro Corp
002892,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,CDP.3,Cerro Corp
002917,01,1986-12-14 00:00:00.000000,2002-03-21 00:00:00.000000,CHA,Champion International Corp
002917,01,2002-03-22 00:00:00.000000,2002-10-27 00:00:00.000000,CHA.,Champion International Corp
002917,01,2002-10-28 00:00:00.000000,2900-01-01 00:00:00.000000,CHA.3,Champion International Corp
002920,01,1986-12-14 00:00:00.000000,1992-03-03 00:00:00.000000,CHM,Champion Spark Plug
002920,01,1992-03-04 00:00:00.000000,2008-12-31 00:00:00.000000,CHM.1,Champion Spark Plug
002920,01,2009-01-01 00:00:00.000000,2900-01-01 00:00:00.000000,CHM.2,Champion Spark Plug
002938,01,1986-12-14 00:00:00.000000,2014-09-24 00:00:00.000000,CHRS,Charming Shoppes Inc
002938,01,2014-09-25 00:00:00.000000,2900-01-01 00:00:00.000000,CHRS.1,Charming Shoppes Inc
002943,01,1986-12-14 00:00:00.000000,1996-03-29 00:00:00.000000,CMB,Chase Manhattan Corp-Old
002943,01,1996-03-30 00:00:00.000000,2013-01-15 00:00:00.000000,CMB.,Chase Manhattan Corp-Old
002943,01,2013-01-16 00:00:00.000000,2900-01-01 00:00:00.000000,CMB.1,Chase Manhattan Corp-Old
002968,01,1986-12-14 00:00:00.000000,1996-03-31 00:00:00.000000,CHL,JPMorgan Chase & Co
002968,01,1996-04-01 00:00:00.000000,2001-01-01 00:00:00.000000,CMB,JPMorgan Chase & Co
002968,01,2001-01-02 00:00:00.000000,2900-01-01 00:00:00.000000,JPM,JPMorgan Chase & Co
002987,01,1986-12-14 00:00:00.000000,1990-11-29 00:00:00.000000,CBM,Chesebrough-Pond's Inc
002987,01,1990-11-30 00:00:00.000000,1991-01-23 00:00:00.000000,CBM.,Chesebrough-Pond's Inc
002987,01,1991-01-24 00:00:00.000000,2007-06-21 00:00:00.000000,CBM.3,Chesebrough-Pond's Inc
002987,01,2007-06-22 00:00:00.000000,2900-01-01 00:00:00.000000,CBM.4,Chesebrough-Pond's Inc
002989,01,1987-04-30 00:00:00.000000,1991-01-23 00:00:00.000000,CO,Chessie System Inc
002989,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,CO.2,Chessie System Inc
002991,01,1986-12-14 00:00:00.000000,2001-10-08 00:00:00.000000,CHV,Chevron Corp
002991,01,2001-10-09 00:00:00.000000,2900-01-01 00:00:00.000000,CVX,Chevron Corp
002994,01,1986-12-14 00:00:00.000000,1993-11-18 00:00:00.000000,CHG,Chicago Milwaukee Corp
002994,01,1993-11-19 00:00:00.000000,1998-04-30 00:00:00.000000,CHG.,Chicago Milwaukee Corp
002994,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,CHG.1,Chicago Milwaukee Corp
002998,01,1986-12-14 00:00:00.000000,1987-01-30 00:00:00.000000,CGG,Chicago Pneumatic Tool Co
002998,01,1987-01-31 00:00:00.000000,1987-07-30 00:00:00.000000,DHR2,Chicago Pneumatic Tool Co
002998,01,1987-07-31 00:00:00.000000,1991-01-23 00:00:00.000000,CGG,Chicago Pneumatic Tool Co
002998,01,1998-05-01 00:00:00.000000,2010-07-18 00:00:00.000000,CGG.,Chicago Pneumatic Tool Co
002998,01,2010-07-19 00:00:00.000000,2900-01-01 00:00:00.000000,CGG.1,Chicago Pneumatic Tool Co
003011,01,1986-12-14 00:00:00.000000,2018-12-10 00:00:00.000000,CHIR,Chiron Corp
003011,01,2018-12-11 00:00:00.000000,2900-01-01 00:00:00.000000,CHIR.1,Chiron Corp
003015,01,1986-12-14 00:00:00.000000,2008-03-26 00:00:00.000000,CCN,Chris-Craft Industries
003015,01,2008-03-27 00:00:00.000000,2011-04-04 00:00:00.000000,CCN.,Chris-Craft Industries
003015,01,2011-04-05 00:00:00.000000,2900-01-01 00:00:00.000000,CCN.2,Chris-Craft Industries
003022,01,1986-12-14 00:00:00.000000,1998-12-03 00:00:00.000000,C,Chrysler Corp
003022,01,1998-12-04 00:00:00.000000,2000-03-23 00:00:00.000000,C.,Chrysler Corp
003022,01,2000-03-24 00:00:00.000000,2003-09-24 00:00:00.000000,C.1,Chrysler Corp
003022,01,2003-09-25 00:00:00.000000,2008-09-24 00:00:00.000000,C.2,Chrysler Corp
003022,01,2008-09-25 00:00:00.000000,2900-01-01 00:00:00.000000,C.3,Chrysler Corp
003024,01,1986-12-14 00:00:00.000000,2016-01-14 00:00:00.000000,CB,Chubb Corp
003024,01,2016-01-15 00:00:00.000000,2900-01-01 00:00:00.000000,CB.1,Chubb Corp
003026,01,1986-12-14 00:00:00.000000,1990-08-15 00:00:00.000000,CRCH,Church & Dwight Co. Inc.
003026,01,1990-08-16 00:00:00.000000,2900-01-01 00:00:00.000000,CHD,Church & Dwight Co. Inc.
003030,01,1986-12-14 00:00:00.000000,1994-12-22 00:00:00.000000,CHU,Church's Fried Chicken Inc
003030,01,1994-12-23 00:00:00.000000,2900-01-01 00:00:00.000000,CHU.1,Church's Fried Chicken Inc
003039,01,1986-12-14 00:00:00.000000,1994-10-25 00:00:00.000000,CIN,Duke Energy Ohio Inc
003039,01,1994-10-26 00:00:00.000000,2900-01-01 00:00:00.000000,CIN1,Duke Energy Ohio Inc
003041,01,1986-12-14 00:00:00.000000,1998-10-05 00:00:00.000000,CMZ,Milacron Inc.
003041,01,1998-10-06 00:00:00.000000,2008-05-26 00:00:00.000000,MZ,Milacron Inc.
003041,01,2008-05-27 00:00:00.000000,2009-03-10 00:00:00.000000,MZIA,Milacron Inc.
003041,01,2009-03-11 00:00:00.000000,2900-01-01 00:00:00.000000,MZIAQ,Milacron Inc.
003054,01,1986-12-14 00:00:00.000000,2008-11-09 00:00:00.000000,CC,Circuit City Stores Inc
003054,01,2008-11-10 00:00:00.000000,2900-01-01 00:00:00.000000,CCTYQ,Circuit City Stores Inc
003062,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,CTAS,Cintas Corp
003066,01,1986-12-14 00:00:00.000000,1998-10-07 00:00:00.000000,CCI,Citicorp
003066,01,1998-10-08 00:00:00.000000,2900-01-01 00:00:00.000000,3614B,Citicorp
